user_date,deletions,additions
Mike Bostock (2014-04-08T15:03:44Z),10,9
Mike Bostock (2013-07-01T18:06:43Z),6,18
Mike Bostock (2013-07-01T18:07:10Z),142,130
Mike Bostock (2013-07-01T18:07:45Z),139,224
Mike Bostock (2013-07-01T18:08:08Z),66,54
Mike Bostock (2013-07-01T18:08:34Z),9,36
Mike Bostock (2013-07-01T18:10:05Z),349,437
Mike Bostock (2013-07-02T16:07:38Z),25,52
Mike Bostock (2013-07-02T17:22:18Z),0,22
Mike Bostock (2013-07-02T17:23:30Z),7,3
Mike Bostock (2013-07-02T17:28:23Z),2,20
Mike Bostock (2013-07-03T04:09:53Z),4,10
Mike Bostock (2013-07-03T17:03:21Z),21,11
Mike Bostock (2013-07-03T17:05:14Z),2,2
Mike Bostock (2013-07-03T17:08:27Z),355,455
Mike Bostock (2013-07-03T17:09:54Z),23,51
Mike Bostock (2013-07-04T17:15:34Z),14,12
Mike Bostock (2013-07-04T17:35:30Z),13,12
Mike Bostock (2013-07-05T17:00:29Z),56,91
Mike Bostock (2013-07-05T17:32:37Z),12,51
Mike Bostock (2013-07-05T17:44:58Z),23,13
Mike Bostock (2013-07-05T17:45:24Z),17,86
Mike Bostock (2013-07-05T18:18:06Z),170,261
Mike Bostock (2013-07-05T18:19:04Z),171,262
Mike Bostock (2013-07-05T18:19:30Z),13,12
Mike Bostock (2013-07-05T18:19:53Z),64,138
Mike Bostock (2013-07-05T18:20:20Z),6,6
Jason Davies (2013-07-05T22:34:17Z),7,22
Jason Davies (2013-07-05T22:39:56Z),1,1
Mike Bostock (2013-07-06T03:13:41Z),14,12
Mike Bostock (2013-07-09T18:47:30Z),54,51
Mike Bostock (2014-01-09T23:31:05Z),175,135
Mike Bostock (2014-01-09T23:32:10Z),28,43
Mike Bostock (2014-01-09T23:32:48Z),97,226
Mike Bostock (2014-01-09T23:33:19Z),6924,6982
Mike Bostock (2014-01-09T23:33:53Z),27,45
Mike Bostock (2014-01-09T23:36:18Z),6,6
Mike Bostock (2014-01-10T00:37:18Z),5,10
Mike Bostock (2014-01-10T00:38:12Z),5,10
Mike Bostock (2014-01-10T00:43:32Z),56,164
Mike Bostock (2014-01-10T00:44:43Z),3,3
Mike Bostock (2014-01-10T05:40:47Z),10,9
Mike Bostock (2014-01-10T17:52:03Z),4,4
Jason Davies (2014-01-10T22:18:17Z),1,1
Mike Bostock (2014-01-13T19:42:04Z),44,32
kmindi (2014-01-14T23:02:33Z),0,20
kmindi (2014-01-14T23:15:26Z),2,1
kmindi (2014-01-15T07:14:28Z),1,1
Mike Bostock (2014-01-15T22:34:25Z),1,1
Mike Bostock (2014-01-16T17:57:14Z),0,19
Jesus Magana (2014-01-21T02:51:51Z),0,1
Mike Bostock (2014-01-21T16:10:09Z),0,1
PatrickJS (2014-02-03T10:04:15Z),1,1
jbblanchet (2014-02-11T19:33:51Z),2,4
jbblanchet (2014-02-12T02:29:15Z),0,5
Mike Bostock (2014-02-18T16:14:25Z),1,1
Mike Bostock (2014-02-18T16:19:56Z),2,9
Mike Bostock (2014-02-18T16:38:48Z),9,29
Mike Bostock (2014-02-18T16:39:33Z),11,38
Mike Bostock (2014-02-26T19:20:03Z),3,7
Mike Bostock (2014-02-26T19:28:20Z),9,9
Mike Bostock (2014-01-10T05:40:47Z),10,9
Mike Bostock (2014-01-10T17:52:03Z),4,4
Jason Davies (2014-01-10T22:18:17Z),1,1
Mike Bostock (2014-01-13T19:42:04Z),44,32
kmindi (2014-01-14T23:02:33Z),0,20
kmindi (2014-01-14T23:15:26Z),2,1
kmindi (2014-01-15T07:14:28Z),1,1
Mike Bostock (2014-01-15T22:34:25Z),1,1
Mike Bostock (2014-01-16T17:57:14Z),0,19
Jesus Magana (2014-01-21T02:51:51Z),0,1
Mike Bostock (2014-01-21T16:10:09Z),0,1
PatrickJS (2014-02-03T10:04:15Z),1,1
jbblanchet (2014-02-11T19:33:51Z),2,4
jbblanchet (2014-02-12T02:29:15Z),0,5
Mike Bostock (2014-02-18T16:14:25Z),1,1
Mike Bostock (2014-02-18T16:19:56Z),2,9
Mike Bostock (2014-02-18T16:38:48Z),9,29
Mike Bostock (2014-02-18T16:39:33Z),11,38
Jason Davies (2014-02-27T00:29:52Z),12,16
Mike Bostock (2014-02-27T15:50:18Z),17,21
Mike Bostock (2014-03-09T18:14:50Z),1,1
Alexander WU (2014-03-13T13:30:06Z),0,16
Mike Bostock (2014-03-13T15:07:42Z),0,16
Fabricio Tavares de Oliveira (2014-03-17T13:11:34Z),0,136
Mike Bostock (2014-03-17T15:10:35Z),0,136
Mike Bostock (2014-03-19T16:58:41Z),1,3
Mike Bostock (2014-03-19T21:00:58Z),63,100
Mike Bostock (2014-03-19T21:42:12Z),13,17
Mike Bostock (2014-03-20T18:31:20Z),39,7
Mike Bostock (2014-03-23T21:10:55Z),102,102
Mike Bostock (2013-10-10T15:36:59Z),60,60
Mike Bostock (2013-10-10T15:44:29Z),29,30
Mike Bostock (2013-10-10T23:46:19Z),1443,2175
Mike Bostock (2013-10-11T00:19:13Z),256,184
Mike Bostock (2013-10-11T03:49:09Z),3186,11
Mike Bostock (2013-10-11T03:51:20Z),0,10
Mike Bostock (2013-10-11T03:53:19Z),2,2
Jason Davies (2013-10-11T10:41:55Z),5,17
Jason Davies (2013-10-11T15:12:03Z),287,299
Mike Bostock (2013-10-11T18:41:02Z),16,18
Mike Bostock (2013-10-12T04:06:01Z),4,10
Mike Bostock (2013-10-12T04:21:26Z),7,5
Mike Bostock (2013-10-12T04:24:28Z),2,7
Mike Bostock (2013-10-14T15:54:43Z),289,306
Mike Bostock (2013-10-14T15:55:15Z),11,21
Mike Bostock (2013-10-14T15:56:31Z),322,357
Jason Davies (2013-10-15T21:43:09Z),35,63
Mike Bostock (2013-10-16T15:47:09Z),55,73
Mike Bostock (2013-10-16T16:13:43Z),84,84
Harry Voorhees (2013-10-16T23:18:46Z),21,25
Harry Voorhees (2013-10-17T00:12:08Z),18,15
Harry Voorhees (2013-10-17T00:32:04Z),5,9
Mike Bostock (2013-10-17T15:58:19Z),4,41
Mike Bostock (2013-10-17T16:11:22Z),29,45
Mike Bostock (2013-10-25T21:53:47Z),15,20
Mike Bostock (2013-10-25T22:35:22Z),11,64
Mike Bostock (2013-10-25T22:35:59Z),15,20
Mike Bostock (2013-10-25T22:36:50Z),84,188
Mike Bostock (2013-11-11T21:06:20Z),2,2
Jason Davies (2013-11-18T12:01:50Z),35,48
Mike Bostock (2014-01-09T23:36:18Z),6,6
Mike Bostock (2014-01-10T00:37:18Z),5,10
Mike Bostock (2014-01-10T00:38:12Z),5,10
Mike Bostock (2014-01-10T00:43:32Z),56,164
Mike Bostock (2014-01-10T00:44:43Z),3,3
Mike Bostock (2014-01-10T05:40:47Z),10,9
Mike Bostock (2014-01-10T17:52:03Z),4,4
Jason Davies (2014-01-10T22:18:17Z),1,1
Mike Bostock (2014-01-13T19:42:04Z),44,32
kmindi (2014-01-14T23:02:33Z),0,20
kmindi (2014-01-14T23:15:26Z),2,1
kmindi (2014-01-15T07:14:28Z),1,1
Mike Bostock (2014-01-15T22:34:25Z),1,1
Mike Bostock (2014-01-16T17:57:14Z),0,19
Jesus Magana (2014-01-21T02:51:51Z),0,1
Mike Bostock (2014-01-21T16:10:09Z),0,1
PatrickJS (2014-02-03T10:04:15Z),1,1
jbblanchet (2014-02-11T19:33:51Z),2,4
jbblanchet (2014-02-12T02:29:15Z),0,5
Mike Bostock (2014-02-18T16:14:25Z),1,1
Mike Bostock (2014-02-18T16:19:56Z),2,9
Mike Bostock (2014-02-18T16:38:48Z),9,29
Mike Bostock (2014-02-18T16:39:33Z),11,38
Jason Davies (2014-02-27T00:29:52Z),12,16
Mike Bostock (2014-02-27T15:50:18Z),17,21
Mike Bostock (2014-03-04T16:26:28Z),52,68
Mike Bostock (2014-03-04T16:38:07Z),128,123
Mike Bostock (2014-03-04T16:50:46Z),50,24
Mike Bostock (2014-03-04T17:12:33Z),173,136
Mike Bostock (2014-03-04T17:20:45Z),15,12
Mike Bostock (2013-04-30T22:53:31Z),20,9
Mike Bostock (2013-04-30T22:54:06Z),33,69
Mike Bostock (2013-04-30T22:54:43Z),49,37
Mike Bostock (2013-04-30T22:55:25Z),32,171
Mike Bostock (2013-04-30T22:56:30Z),166,321
Mike Bostock (2013-04-30T23:09:40Z),4,14
Jason Davies (2013-05-01T17:57:16Z),5,9
Jason Davies (2013-05-04T11:34:23Z),3,51
Jason Davies (2013-05-05T10:33:15Z),111,486
Jason Davies (2013-05-07T18:47:44Z),13,18
Jason Davies (2013-05-08T09:44:56Z),4,2
Jason Davies (2013-05-08T10:50:45Z),2,2
Mike Bostock (2013-05-13T22:11:59Z),62,84
Mike Bostock (2013-05-15T22:48:13Z),28,34
Mike Bostock (2013-05-15T23:05:25Z),2,2
Mike Bostock (2013-05-15T23:09:02Z),111,486
Mike Bostock (2013-05-15T23:09:31Z),3,51
Mike Bostock (2013-05-15T23:09:58Z),6,10
Mike Bostock (2013-05-15T23:10:30Z),63,85
Mike Bostock (2013-05-15T23:11:06Z),32,40
Mike Bostock (2013-05-15T23:11:34Z),5,5
Samuel Williams (2013-05-16T07:49:00Z),2,11
Samuel Williams (2013-05-18T09:02:18Z),3,3
Samuel Williams (2013-05-18T09:08:16Z),1,4
Samuel Williams (2013-05-18T10:30:20Z),11,2
Samuel Williams (2013-05-18T10:30:41Z),14542,18345
Samuel Williams (2013-05-18T10:30:58Z),4,7
Samuel Williams (2013-05-18T17:22:46Z),8,9
Mike Bostock (2013-05-18T17:58:44Z),19,22
Mike Bostock (2013-05-18T17:59:26Z),1,1
Jason Davies (2014-03-20T14:24:57Z),2,2
Roger Bramon (2014-03-21T21:04:36Z),0,136
Jim Kang (2014-03-22T04:50:22Z),12,12
Mike Bostock (2014-03-22T14:35:26Z),12,12
Mike Bostock (2014-03-24T03:24:32Z),0,136
Mike Bostock (2014-03-24T05:51:07Z),32,173
Mike Bostock (2014-03-24T05:51:07Z),14,14
Mike Bostock (2014-03-24T05:51:26Z),7,8
Mike Bostock (2014-03-24T05:51:47Z),1,3
Mike Bostock (2014-03-24T05:52:06Z),63,100
Mike Bostock (2014-03-24T05:52:13Z),13,17
Mike Bostock (2014-03-24T05:52:19Z),39,7
Mike Bostock (2014-03-24T05:52:25Z),3,10
Mike Bostock (2014-03-24T05:52:31Z),7,7
Mike Bostock (2014-03-24T05:52:42Z),5,3
Mike Bostock (2014-03-24T05:52:42Z),12,12
Mike Bostock (2014-03-24T05:52:46Z),25,23
Mike Bostock (2014-03-24T05:52:50Z),98,98
Mike Bostock (2014-03-24T05:52:50Z),3,5
Mike Bostock (2014-03-24T05:52:54Z),11,52
Mike Bostock (2014-03-24T05:52:59Z),37,42
Mike Bostock (2014-03-24T05:53:03Z),10,11
Mike Bostock (2014-03-24T05:53:07Z),6,8
Mike Bostock (2014-03-24T05:53:07Z),1,5
Mike Bostock (2014-03-24T05:53:07Z),3,12
Mike Bostock (2014-03-24T05:57:35Z),33,27
Mike Bostock (2014-03-24T16:02:48Z),5,5
Mike Bostock (2014-03-25T03:45:44Z),304,518
Jason Davies (2014-03-26T18:56:41Z),17,22
Mike Bostock (2014-03-26T20:14:42Z),10,10
Jason Davies (2014-03-20T14:24:57Z),2,2
Roger Bramon (2014-03-21T21:04:36Z),0,136
Jim Kang (2014-03-22T04:50:22Z),12,12
Mike Bostock (2014-03-22T14:35:26Z),12,12
Mike Bostock (2014-03-24T03:24:32Z),0,136
Mike Bostock (2014-03-24T05:51:07Z),32,173
Mike Bostock (2014-03-24T05:51:07Z),14,14
Mike Bostock (2014-03-24T05:51:26Z),7,8
Mike Bostock (2014-03-24T05:51:47Z),1,3
Mike Bostock (2014-03-24T05:52:06Z),63,100
Mike Bostock (2014-03-24T05:52:13Z),13,17
Mike Bostock (2014-03-24T05:52:19Z),39,7
Mike Bostock (2014-03-24T05:52:25Z),3,10
Mike Bostock (2014-03-24T05:52:31Z),7,7
Mike Bostock (2014-03-24T05:52:42Z),5,3
Mike Bostock (2014-03-24T05:52:42Z),12,12
Mike Bostock (2014-03-24T05:52:46Z),25,23
Mike Bostock (2014-03-24T05:52:50Z),98,98
Mike Bostock (2014-03-24T05:52:50Z),3,5
Mike Bostock (2014-03-24T05:52:54Z),11,52
Mike Bostock (2014-03-24T05:52:59Z),37,42
Mike Bostock (2014-03-24T05:53:03Z),10,11
Mike Bostock (2014-03-24T05:53:07Z),6,8
Mike Bostock (2014-03-24T05:53:07Z),1,5
Mike Bostock (2014-03-24T05:53:07Z),3,12
Mike Bostock (2014-03-24T05:57:35Z),33,27
Mike Bostock (2014-03-24T16:02:48Z),5,5
Mike Bostock (2014-03-25T03:45:44Z),304,518
Jason Davies (2014-03-27T21:36:46Z),23,23
Jason Davies (2014-03-27T21:37:10Z),53,565
Mike Bostock (2013-10-05T21:59:03Z),6,18
Jason Davies (2013-10-05T22:32:36Z),9,9
Mike Bostock (2013-10-07T16:00:34Z),66,65
Mike Bostock (2013-10-07T16:06:01Z),9,6
Mike Bostock (2013-10-07T22:27:41Z),3,3
Mike Bostock (2013-10-09T14:57:55Z),6,6
Mike Bostock (2013-10-09T15:07:55Z),223,291
Mike Bostock (2013-10-09T15:08:27Z),24,17
Mike Bostock (2013-10-09T15:09:07Z),3,3
Mike Bostock (2013-10-09T15:09:35Z),9,9
Mike Bostock (2013-10-09T15:10:05Z),6,6
Mike Bostock (2013-10-09T15:13:22Z),16,24
Mike Bostock (2013-10-09T15:41:42Z),11,55
Mike Bostock (2013-10-09T15:43:03Z),3,4
Mike Bostock (2013-10-09T16:07:16Z),16,19
Mike Bostock (2013-10-09T21:43:35Z),32,43
Mike Bostock (2013-10-09T23:46:23Z),27,25
Mike Bostock (2013-10-09T23:53:12Z),12,7
Mike Bostock (2013-10-10T04:22:44Z),3,3
Mike Bostock (2013-10-10T05:11:07Z),7,5
Mike Bostock (2013-10-10T15:26:30Z),27,26
Mike Bostock (2013-10-10T15:36:59Z),60,60
Mike Bostock (2013-10-10T15:44:29Z),29,30
Mike Bostock (2013-10-10T23:46:19Z),1443,2175
Mike Bostock (2013-10-11T00:19:13Z),256,184
Mike Bostock (2013-10-11T03:49:09Z),3186,11
Mike Bostock (2013-10-11T03:51:20Z),0,10
Mike Bostock (2013-10-11T03:53:19Z),2,2
Mike Bostock (2013-10-11T03:53:25Z),184,256
Jason Davies (2013-10-11T08:30:56Z),18,33
Mike Bostock (2014-01-08T21:05:13Z),87,72
Mike Bostock (2014-01-08T21:10:00Z),1082,1095
Mike Bostock (2014-01-08T22:21:24Z),774,775
Mike Bostock (2014-01-08T22:29:44Z),13,14
Mike Bostock (2014-01-08T22:45:44Z),0,16
Mike Bostock (2014-01-08T23:00:32Z),120,113
Mike Bostock (2014-01-08T23:30:21Z),66,74
Mike Bostock (2014-01-08T23:47:10Z),0,26
Mike Bostock (2014-01-09T18:50:11Z),55,32
Mike Bostock (2014-01-09T19:07:32Z),1,132
Mike Bostock (2014-01-09T21:54:49Z),28,41
Mike Bostock (2014-01-09T22:03:03Z),1,3
Mike Bostock (2014-01-09T23:14:25Z),20,127
Mike Bostock (2014-01-09T23:25:16Z),50,37
Mike Bostock (2014-01-09T23:31:05Z),175,135
Mike Bostock (2014-01-09T23:32:10Z),28,43
Mike Bostock (2014-01-09T23:32:48Z),97,226
Mike Bostock (2014-01-09T23:33:19Z),6924,6982
Mike Bostock (2014-01-09T23:33:53Z),27,45
Mike Bostock (2014-01-09T23:36:18Z),6,6
Mike Bostock (2014-01-10T00:37:18Z),5,10
Mike Bostock (2014-01-10T00:38:12Z),5,10
Mike Bostock (2014-01-10T00:43:32Z),56,164
Mike Bostock (2014-01-10T00:44:43Z),3,3
Mike Bostock (2014-01-10T05:40:47Z),10,9
Mike Bostock (2014-01-10T17:52:03Z),4,4
Jason Davies (2014-01-10T22:18:17Z),1,1
Mike Bostock (2014-01-13T19:42:04Z),44,32
Mike Bostock (2014-01-15T22:34:25Z),1,1
Mike Bostock (2014-01-23T23:50:29Z),2,33
Mike Bostock (2014-01-09T23:32:10Z),28,43
Mike Bostock (2014-01-09T23:32:48Z),97,226
Mike Bostock (2014-01-09T23:33:19Z),6924,6982
Mike Bostock (2014-01-09T23:33:53Z),27,45
Mike Bostock (2014-01-09T23:36:18Z),6,6
Mike Bostock (2014-01-10T00:37:18Z),5,10
Mike Bostock (2014-01-10T00:38:12Z),5,10
Mike Bostock (2014-01-10T00:43:32Z),56,164
Mike Bostock (2014-01-10T00:44:43Z),3,3
Mike Bostock (2014-01-10T05:40:47Z),10,9
Mike Bostock (2014-01-10T17:52:03Z),4,4
Jason Davies (2014-01-10T22:18:17Z),1,1
Mike Bostock (2014-01-13T19:42:04Z),44,32
kmindi (2014-01-14T23:02:33Z),0,20
kmindi (2014-01-14T23:15:26Z),2,1
kmindi (2014-01-15T07:14:28Z),1,1
Mike Bostock (2014-01-15T22:34:25Z),1,1
Mike Bostock (2014-01-16T17:57:14Z),0,19
Jesus Magana (2014-01-21T02:51:51Z),0,1
Mike Bostock (2014-01-21T16:10:09Z),0,1
PatrickJS (2014-02-03T10:04:15Z),1,1
jbblanchet (2014-02-11T19:33:51Z),2,4
jbblanchet (2014-02-12T02:29:15Z),0,5
Mike Bostock (2014-02-18T16:14:25Z),1,1
Mike Bostock (2014-02-18T16:19:56Z),2,9
Mike Bostock (2014-02-18T16:38:48Z),9,29
Mike Bostock (2014-02-18T16:39:33Z),11,38
Jason Davies (2014-02-27T00:29:52Z),12,16
Mike Bostock (2014-02-27T15:50:18Z),17,21
Mike Bostock (2014-02-27T22:48:48Z),5,3
Mike Bostock (2013-10-10T15:36:59Z),60,60
Mike Bostock (2013-10-10T15:44:29Z),29,30
Mike Bostock (2013-10-10T23:46:19Z),1443,2175
Mike Bostock (2013-10-11T00:19:13Z),256,184
Mike Bostock (2013-10-11T03:49:09Z),3186,11
Mike Bostock (2013-10-11T03:51:20Z),0,10
Mike Bostock (2013-10-11T03:53:19Z),2,2
Jason Davies (2013-10-11T10:41:55Z),5,17
Jason Davies (2013-10-11T15:12:03Z),287,299
Mike Bostock (2013-10-11T18:41:02Z),16,18
Mike Bostock (2013-10-12T04:06:01Z),4,10
Mike Bostock (2013-10-12T04:21:26Z),7,5
Mike Bostock (2013-10-12T04:24:28Z),2,7
Mike Bostock (2013-10-14T15:54:43Z),289,306
Mike Bostock (2013-10-14T15:55:15Z),11,21
Mike Bostock (2013-10-14T15:56:31Z),322,357
Jason Davies (2013-10-15T21:43:09Z),35,63
Mike Bostock (2013-10-16T15:47:09Z),55,73
Mike Bostock (2013-10-16T16:13:43Z),84,84
Harry Voorhees (2013-10-16T23:18:46Z),21,25
Harry Voorhees (2013-10-17T00:12:08Z),18,15
Harry Voorhees (2013-10-17T00:32:04Z),5,9
Mike Bostock (2013-10-17T15:58:19Z),4,41
Mike Bostock (2013-10-17T16:11:22Z),29,45
Mike Bostock (2013-10-25T21:53:47Z),15,20
Mike Bostock (2013-10-25T22:35:22Z),11,64
Mike Bostock (2013-10-25T22:35:59Z),15,20
Mike Bostock (2013-10-25T22:36:50Z),84,188
Jason Davies (2013-11-09T10:10:47Z),11,22
Mike Bostock (2013-11-19T17:12:55Z),34,22
Mike Bostock (2011-11-04T00:04:02Z),6,41
Mike Bostock (2011-11-04T18:28:27Z),12,19
Mike Bostock (2011-11-04T19:03:01Z),12,21
Mike Bostock (2011-11-04T19:41:42Z),34,104
Jason Davies (2011-11-04T20:14:20Z),12,14
Jason Davies (2011-11-04T20:18:18Z),26,4
Mike Bostock (2011-11-04T20:18:19Z),10,14
Jason Davies (2011-11-04T20:19:14Z),8,8
Jason Davies (2011-11-04T20:23:51Z),3,3
Jason Davies (2011-11-04T20:25:45Z),404,2078
Mike Bostock (2011-11-04T20:32:14Z),3,3
Jason Davies (2011-11-04T20:35:09Z),3,3
Jason Davies (2011-11-04T20:38:13Z),10,18
Mike Bostock (2011-11-04T20:39:06Z),11,5
Mike Bostock (2011-11-04T20:41:02Z),10,18
Mike Bostock (2011-11-04T20:48:56Z),1,1
Mike Bostock (2011-11-04T21:10:01Z),20,6
Jason Davies (2011-11-04T22:01:55Z),3,7
Jason Davies (2011-11-04T22:12:05Z),4,4
Mike Bostock (2011-11-04T22:13:44Z),3,7
Mike Bostock (2011-11-04T22:14:06Z),52,52
Mike Bostock (2011-11-04T23:19:58Z),6,113
Mike Bostock (2011-11-04T23:46:35Z),14,28
Mike Bostock (2011-11-05T01:08:53Z),4,4
Mike Bostock (2011-11-05T02:03:17Z),10,8
Mike Bostock (2011-11-05T02:05:06Z),0,60
Mike Bostock (2011-11-05T02:06:43Z),18,197
Mike Bostock (2011-11-05T02:36:50Z),411,2310
Mike Bostock (2011-11-05T02:42:59Z),6,6
Mike Bostock (2011-11-08T04:28:18Z),5,27
Fabricio Tavares de Oliveira (2014-03-17T13:11:34Z),0,136
Mike Bostock (2014-03-17T15:10:35Z),0,136
Jason Davies (2014-03-20T14:20:55Z),1,17
Jason Davies (2014-03-20T14:24:57Z),2,2
Roger Bramon (2014-03-21T21:04:36Z),0,136
Jim Kang (2014-03-22T04:50:22Z),12,12
Mike Bostock (2014-03-22T14:35:26Z),12,12
Mike Bostock (2014-03-24T03:24:32Z),0,136
Mike Bostock (2014-03-24T05:51:07Z),32,173
Mike Bostock (2014-03-24T05:51:07Z),14,14
Mike Bostock (2014-03-24T05:51:26Z),7,8
Mike Bostock (2014-03-24T05:51:47Z),1,3
Mike Bostock (2014-03-24T05:52:06Z),63,100
Mike Bostock (2014-03-24T05:52:13Z),13,17
Mike Bostock (2014-03-24T05:52:19Z),39,7
Mike Bostock (2014-03-24T05:52:25Z),3,10
Mike Bostock (2014-03-24T05:52:31Z),7,7
Mike Bostock (2014-03-24T05:52:42Z),5,3
Mike Bostock (2014-03-24T05:52:42Z),12,12
Mike Bostock (2014-03-24T05:52:46Z),25,23
Mike Bostock (2014-03-24T05:52:50Z),98,98
Mike Bostock (2014-03-24T05:52:50Z),3,5
Mike Bostock (2014-03-24T05:52:54Z),11,52
Mike Bostock (2014-03-24T05:52:59Z),37,42
Mike Bostock (2014-03-24T05:53:03Z),10,11
Mike Bostock (2014-03-24T05:53:07Z),6,8
Mike Bostock (2014-03-24T05:53:07Z),1,5
Mike Bostock (2014-03-24T05:53:07Z),3,12
Mike Bostock (2014-03-24T05:57:35Z),33,27
Mike Bostock (2014-03-24T16:02:48Z),5,5
